Release date,Title,Production Budget,Opening weekend,Domestic box office,Worldwide box office,origin,sequel,teamup
4/26/19,Avengers: Endgame,"$356,000,000.00 ","$357,115,007 ","$858,373,000 ","$2,797,501,328 ",no,yes,yes
3/8/19,Captain Marvel,"$175,000,000.00 ","$153,433,423 ","$426,829,839 ","$1,129,727,388 ",yes,no,no
7/6/18,Ant-Man and the Wasp,"$130,000,000.00 ","$75,812,205 ","$216,648,740 ","$623,144,660 ",no,yes,no
4/27/18,Avengers: Infinity War,"$300,000,000.00 ","$257,698,183 ","$678,815,482 ","$2,044,540,523 ",no,yes,yes
2/16/18,Black Panther,"$200,000,000.00 ","$202,003,951 ","$700,059,566 ","$1,336,494,321 ",yes,no,no
11/3/17,Thor: Ragnarok,"$180,000,000.00 ","$122,744,989 ","$315,058,289 ","$850,482,778 ",no,yes,no
7/7/17,Spider-Man: Homecoming,"$175,000,000.00 ","$117,027,503 ","$334,201,140 ","$880,166,350 ",yes,no,no
5/5/17,Guardians of the Galaxy Vol 2,"$200,000,000.00 ","$146,510,104 ","$389,813,101 ","$869,113,101 ",no,yes,yes
11/4/16,Doctor Strange,"$165,000,000.00 ","$85,058,311 ","$232,641,920 ","$676,354,481 ",yes,no,no
5/6/16,Captain America: Civil War,"$250,000,000.00 ","$179,139,142 ","$408,084,349 ","$1,151,918,521 ",no,yes,yes
7/17/15,Ant-Man,"$130,000,000.00 ","$57,225,526 ","$180,202,163 ","$518,858,449 ",yes,no,no
5/1/15,Avengers: Age of Ultron,"$365,000,000.00 ","$191,271,109 ","$459,005,868 ","$1,395,316,979 ",no,yes,yes
8/1/14,Guardians of the Galaxy,"$170,000,000.00 ","$94,320,883 ","$333,714,112 ","$770,882,395 ",yes,no,yes
4/4/14,Captain America: The Winter Soldier,"$170,000,000.00 ","$95,023,721 ","$259,746,958 ","$714,401,889 ",no,yes,no
11/8/13,Thor: The Dark World,"$150,000,000.00 ","$85,737,841 ","$206,362,140 ","$644,602,516 ",no,yes,no
5/3/13,Iron Man 3,"$200,000,000.00 ","$174,144,585 ","$408,992,272 ","$1,215,392,272 ",no,yes,no
5/4/12,The Avengers,"$225,000,000.00 ","$207,438,708 ","$623,357,910 ","$1,515,100,211 ",no,no,yes
7/22/11,Captain America: The First Avenger,"$140,000,000.00 ","$65,058,524 ","$176,654,505 ","$370,569,776 ",yes,no,no
5/6/11,Thor,"$150,000,000.00 ","$65,723,338 ","$181,030,624 ","$449,326,618 ",yes,no,no
5/7/10,Iron Man 2,"$170,000,000.00 ","$128,122,480 ","$312,433,331 ","$621,156,389 ",no,yes,no
6/13/08,The Incredible Hulk,"$137,500,000.00 ","$55,414,050 ","$134,806,913 ","$265,573,859 ",yes,no,no
5/2/08,Iron Man,"$186,000,000.00 ","$102,118,668 ","$318,604,126 ","$585,171,547 ",yes,no,no
